ticket_id,customer_id,created_datetime,assigned_datetime,resolved_datetime,region,team,agent_id,shift,priority,issue_type,channel,sla_hours,first_response_hours,resolution_hours,sla_breach (Yes/No),breach_hours,escalated,reopened,status,backlog_flag,root_cause,bottleneck_stage,customer_satisfaction_score
T0001,C1890,24-02-2025 08:01,24-02-2025 08:52,25-02-2025 01:01,East,L1 Support,A135,Morning,Medium,Login/Access,Email,24,0.85,17.01,No,0,No,No,Resolved,No,No Major Delay,None,5
T0002,C1046,19-04-2025 13:38,19-04-2025 13:50,20-04-2025 03:46,West,L1 Support,A125,Morning,Critical,Order Delay,Email,4,0.21,14.14,Yes,10.14,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0003,C1863,15-02-2025 11:42,15-02-2025 14:31,16-02-2025 12:23,North,L1 Support,A124,Morning,Medium,Order Delay,Chat,24,2.82,24.69,Yes,0.69,Yes,No,Resolved,No,Incorrect Routing,Routing,3
T0004,C1141,05-03-2025 14:56,05-03-2025 16:47,07-03-2025 10:32,North,Technical Ops,A121,Afternoon,Low,Login/Access,Chat,48,1.86,43.61,No,0,No,No,Resolved,No,No Major Delay,None,5
T0005,C1300,19-02-2025 14:38,19-02-2025 16:18,22-02-2025 11:54,North,L1 Support,A128,Afternoon,Medium,Login/Access,Chat,24,1.68,69.28,Yes,45.28,No,No,Resolved,No,Agent Capacity Constraint,Resolution,3
T0006,C1899,06-03-2025 17:12,06-03-2025 21:06,08-03-2025 06:49,East,Escalations,A120,Afternoon,Medium,Technical Bug,Portal,24,3.91,37.62,Yes,13.62,Yes,No,Resolved,No,Approval Dependency,Approval,4
T0007,C1687,12-03-2025 10:16,12-03-2025 12:10,13-03-2025 06:45,West,L1 Support,A109,Morning,Medium,Login/Access,Chat,24,1.9,20.49,No,0,No,No,Resolved,No,No Major Delay,None,5
T0008,C1219,12-03-2025 11:37,12-03-2025 12:01,13-03-2025 03:01,Central,L1 Support,A122,Morning,Medium,Account Update,Phone,24,0.4,15.4,No,0,No,No,Resolved,No,No Major Delay,None,5
T0009,C1187,26-03-2025 14:22,26-03-2025 15:52,28-03-2025 14:59,Central,Account Ops,A113,Afternoon,Medium,Order Delay,Phone,24,1.51,48.62,Yes,24.62,Yes,No,Resolved,No,Agent Capacity Constraint,Resolution,3
T0010,C1803,12-01-2025 11:10,12-01-2025 12:43,12-01-2025 18:31,North,Billing Ops,A135,Morning,High,Refund Request,Phone,8,1.55,7.35,No,0,Yes,Yes,Closed,No,No Major Delay,None,4
T0011,C1190,08-01-2025 17:47,08-01-2025 20:04,09-01-2025 02:58,Central,Billing Ops,A119,Afternoon,Medium,Account Update,Chat,24,2.29,9.19,No,0,No,No,Resolved,No,No Major Delay,None,5
T0012,C1769,23-02-2025 17:36,23-02-2025 19:25,23-02-2025 21:40,South,Technical Ops,A103,Afternoon,Critical,Login/Access,Phone,4,1.83,4.08,Yes,0.08,Yes,No,Resolved,No,Incomplete Customer Information,Customer Response,3
T0013,C1683,30-04-2025 13:56,30-04-2025 15:02,01-05-2025 06:35,Central,Technical Ops,A133,Morning,Low,Login/Access,Portal,48,1.1,16.66,No,0,No,No,Resolved,No,No Major Delay,None,5
T0014,C1268,19-03-2025 11:45,19-03-2025 17:09,23-03-2025 00:54,North,Escalations,A110,Morning,Low,Refund Request,Portal,48,5.41,85.16,Yes,37.16,Yes,No,Resolved,No,Delayed Assignment,Assignment,3
T0015,C1416,19-01-2025 14:08,19-01-2025 15:21,20-01-2025 13:18,West,Technical Ops,A124,Afternoon,High,Technical Bug,Phone,8,1.22,23.17,Yes,15.17,No,No,Closed,No,Agent Capacity Constraint,Resolution,3
T0016,C1840,29-04-2025 13:50,29-04-2025 16:53,05-05-2025 19:02,South,Account Ops,A102,Morning,Low,Order Delay,Chat,48,3.06,149.2,Yes,101.2,No,No,Resolved,No,High Complexity,Diagnosis,4
